日期,銀行,幣別代碼,現金買入,現金賣出,即期買入,即期賣出
2025-10-04,永豐銀行,SGD,-,23.4030,23.6160,-
2025-10-04,永豐銀行,SEK,-,3.1911,3.2512,-
2025-10-04,永豐銀行,CAD,-,21.6108,21.7985,-
2025-10-04,永豐銀行,THB,-,0.9149,0.9539,-
2025-10-04,永豐銀行,ZAR,-,1.7249,1.7886,-
2025-10-04,永豐銀行,NZD,-,17.5541,17.7703,-
2025-10-04,永豐銀行,MOP,-,3.7130,3.8458,-
2025-10-04,永豐銀行,CNY,-,4.2226,4.2821,4.1406
2025-10-04,永豐銀行,CNH,-,4.2226,4.2730,-
2025-10-04,玉山銀行,USD,30.330,30.430,30.080,30.630
2025-10-04,玉山銀行,CNY,4.230,4.280,4.184,4.344
2025-10-04,玉山銀行,HKD,3.871,3.931,3.801,3.961
2025-10-04,玉山銀行,JPY,0.20395,0.20795,0.20305,0.20905
2025-10-04,玉山銀行,EUR,35.495,35.895,35.195,36.195
2025-10-04,玉山銀行,AUD,19.975,20.195,19.675,20.475
2025-10-04,玉山銀行,CAD,21.685,21.865,21.375,22.165
2025-10-04,玉山銀行,GBP,40.765,41.165,40.455,41.455
2025-10-04,玉山銀行,ZAR,1.712,1.812,-,-
2025-10-04,玉山銀行,NZD,17.605,17.845,-,-
2025-10-04,玉山銀行,CHF,38.045,38.305,-,-
2025-10-04,玉山銀行,SEK,3.209,3.269,-,-
2025-10-04,玉山銀行,SGD,23.4975,23.6575,-,-
2025-10-04,玉山銀行,MXN,1.611,1.691,-,-
2025-10-04,玉山銀行,THB,0.921,0.961,-,-
2025-10-04,國泰世華,USD,30.3450,30.4650,30.3750,30.4350
2025-10-04,國泰世華,EUR,35.4250,35.9250,35.4850,35.8650
2025-10-04,國泰世華,JPY,0.20365,0.20865,0.20465,0.20765
2025-10-04,國泰世華,CNY,4.2170,4.2920,4.2270,4.2820
2025-10-04,國泰世華,HKD,3.8700,3.9400,3.8800,3.9300
2025-10-04,國泰世華,AUD,19.9350,20.1950,19.9650,20.1450
2025-10-04,國泰世華,NZD,17.5750,17.8750,17.5950,17.8550
2025-10-04,國泰世華,ZAR,1.7035,1.8235,1.7085,1.8185
